
[2022-05-10 18:50:01,628]:[INFO]:[lianxi.py]:[打开浏览器]
[2022-05-10 18:50:04,801]:[INFO]:[lianxi.py]:[打开页面]
[2022-05-10 18:50:17,102]:[INFO]:[lianxi.py]:[输入用户名:26645456@qq.com]
[2022-05-10 18:50:17,164]:[INFO]:[lianxi.py]:[输入验证码:123456]
[2022-05-10 18:50:17,225]:[INFO]:[lianxi.py]:[输入密码:123456a]
[2022-05-10 18:50:17,256]:[INFO]:[lianxi.py]:[登陆]
[2022-05-10 18:50:25,275]:[ERROR]:[lianxi.py]:[用例错误！]
[2022-05-10 18:50:26,178]:[INFO]:[lianxi.py]:[打开页面]
[2022-05-10 18:50:38,461]:[INFO]:[lianxi.py]:[输入用户名:5599667@qq.com]
[2022-05-10 18:50:38,521]:[INFO]:[lianxi.py]:[输入验证码:123456]
[2022-05-10 18:50:38,579]:[INFO]:[lianxi.py]:[输入密码:123456a]
[2022-05-10 18:50:38,609]:[INFO]:[lianxi.py]:[登陆]
[2022-05-10 18:50:46,808]:[ERROR]:[lianxi.py]:[用例错误！]
[2022-05-10 18:50:46,911]:[INFO]:[lianxi.py]:[关闭浏览器]
[2022-05-10 18:51:53,201]:[INFO]:[lianxi.py]:[打开浏览器]
[2022-05-10 18:51:58,730]:[INFO]:[lianxi.py]:[打开页面]
[2022-05-10 18:52:11,030]:[INFO]:[lianxi.py]:[输入用户名:26645456@qq.com]
[2022-05-10 18:52:11,088]:[INFO]:[lianxi.py]:[输入验证码:123456]
[2022-05-10 18:52:11,146]:[INFO]:[lianxi.py]:[输入密码:123456a]
[2022-05-10 18:52:16,191]:[INFO]:[lianxi.py]:[登陆]
[2022-05-10 18:52:23,609]:[INFO]:[lianxi.py]:[注册成功]
[2022-05-10 18:52:27,605]:[INFO]:[lianxi.py]:[退出登录]
[2022-05-10 18:52:28,328]:[INFO]:[lianxi.py]:[打开页面]
[2022-05-10 18:52:35,379]:[ERROR]:[lianxi.py]:[用例错误！]
[2022-05-10 18:52:35,477]:[INFO]:[lianxi.py]:[关闭浏览器]
[2022-05-10 19:10:35,187]:[INFO]:[lianxi.py]:[打开浏览器]
